2022-09-01 00:56:47,934 DEBUG Horse     : Создание Horse, имя Буцефал, скорость 2.4
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Туз Пик, скорость 2.5
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Зефир, скорость 2.6
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Пожар, скорость 2.7
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Лобстер, скорость 2.8
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Пегас, скорость 2.9
2022-09-01 00:56:47,941 DEBUG Horse     : Создание Horse, имя Вишня, скорость 3.0
2022-09-01 00:56:47,947 DEBUG Hippodrome: Создание Hippodrome, лошадей 7
2022-09-01 00:56:47,947 INFO  Main      : Начало скачек. Количество участников: 7
2022-09-01 00:57:08,286 INFO  Main      : Окончание скачек. Победитель: Вишня
2022-09-01 00:57:47,980 ERROR Hippodrome: Horses list is null
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 0testName, скорость 0.0
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 1testName, скорость 0.0
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 2testName, скорость 0.0
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 3testName, скорость 0.0
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 4testName, скорость 0.0
2022-09-01 00:57:47,990 DEBUG Horse     : Создание Horse, имя 5testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 6testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 7testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 8testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 9testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 10testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 11testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 12testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 13testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 14testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 15testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 16testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 17testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 18testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 19testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 20testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 21testName, скорость 0.0
2022-09-01 00:57:47,991 DEBUG Horse     : Создание Horse, имя 22testName, скорость 0.0
2022-09-01 00:57:47,992 DEBUG Horse     : Создание Horse, имя 23testName, скорость 0.0
